"","Bat_ID","bat_name","video_ID","trial_name","trial_name_2","primary_stim","trial_number","sm_tw_trial","md_tw_trial","lg_tw_trial","Orienting_trial","Flying_trial","Approach_trial","Grooming_trial","Landing_trial","Yawning_trial","set_num","Landing_set","Approach_set","Orienting_set","all_tw_set","mdlg_tw_set","lg_tw_set","md_tw__set","sm_tw_set","Flying_set","Grooming_set","Yawning_set","Ordinal3"
"32","Bat10","Insor","M2U02317","ti1_ti2_ti1","tia_tib_tia","t1c",10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"0"
"33","Bat10","Insor","M2U02317","ti1_ti2_ti1","tia_tib_tia","t1c",10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"0"
"34","Bat10","Insor","M2U02316","ti2_ti1_ti2","tia_tib_tia","t1c",9,9,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"0"
"35","Bat10","Insor","M2U02316","ti2_ti1_ti2","tia_tib_tia","t1c",9,9,0,0,1,0,0,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,"1"
"36","Bat10","Insor","M2U02316","ti2_ti1_ti2","tia_tib_tia","t1c",9,9,0,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,2,0,0,0,"1"
"37","Bat2","Jesper","M2U02187","ti1_ti2_ti1","tia_tib_tia","t1c",6,20,0,7,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"0"
"38","Bat2","Jesper","M2U02187","ti1_ti2_ti1","tia_tib_tia","t1c",6,20,0,7,8,0,0,0,0,0,6,0,0,1,1,0,0,0,1,0,0,0,"1"
"39","Bat2","Jesper","M2U02187","ti1_ti2_ti1","tia_tib_tia","t1c",6,20,0,7,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"0"
"40","Bat2","Jesper","M2U02191","ti2_ti1_ti2","tia_tib_tia","t1c",8,3,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"0"
"41","Bat2","Jesper","M2U02191","ti2_ti1_ti2","tia_tib_tia","t1c",8,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"0"
"42","Bat2","Jesper","M2U02191","ti2_ti1_ti2","tia_tib_tia","t1c",8,3,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"0"
"43","Bat11","Linus","M2U02320","ti1_ti4_ti1","tia_tib_tia","t1c",3,7,0,10,7,5,2,0,0,8,5,0,0,0,3,3,3,0,0,1,0,0,"2"
"44","Bat11","Linus","M2U02320","ti1_ti4_ti1","tia_tib_tia","t1c",3,7,0,10,7,5,2,0,0,8,6,0,0,0,0,0,0,0,0,1,0,0,"0"
"45","Bat11","Linus","M2U02320","ti1_ti4_ti1","tia_tib_tia","t1c",3,7,0,10,7,5,2,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,"0"
"46","Bat11","Linus","M2U02323","ti4_ti1_ti4","tia_tib_tia","t1c",6,13,1,8,6,5,0,0,0,7,5,0,0,1,0,0,0,0,0,1,0,0,"0"
"47","Bat11","Linus","M2U02323","ti4_ti1_ti4","tia_tib_tia","t1c",6,13,1,8,6,5,0,0,0,7,6,0,0,0,3,0,0,0,3,2,0,0,"1"
"48","Bat11","Linus","M2U02323","ti4_ti1_ti4","tia_tib_tia","t1c",6,13,1,8,6,5,0,0,0,7,7,0,0,0,1,0,0,0,1,1,0,0,"1"
"49","Bat13","Paris","M2U02360","ti3_ti4_ti3","tia_tib_tia","t1c",10,22,0,15,6,2,0,3,0,6,5,0,0,2,9,1,1,0,8,1,0,6,"2"
"50","Bat13","Paris","M2U02360","ti3_ti4_ti3","tia_tib_tia","t1c",10,22,0,15,6,2,0,3,0,6,6,0,0,0,4,2,2,0,2,1,0,0,"2"
"51","Bat13","Paris","M2U02360","ti3_ti4_ti3","tia_tib_tia","t1c",10,22,0,15,6,2,0,3,0,6,7,0,0,1,2,2,2,0,0,0,0,0,"2"
"52","Bat13","Paris","M2U02359","ti4_ti3_ti4","tia_tib_tia","t1c",9,15,0,46,7,0,0,7,0,0,5,0,0,1,9,4,4,0,5,0,1,0,"2"
"53","Bat13","Paris","M2U02359","ti4_ti3_ti4","tia_tib_tia","t1c",9,15,0,46,7,0,0,7,0,0,6,0,0,1,8,6,6,0,2,0,1,0,"2"
"54","Bat13","Paris","M2U02359","ti4_ti3_ti4","tia_tib_tia","t1c",9,15,0,46,7,0,0,7,0,0,7,0,0,1,7,4,4,0,3,0,1,0,"2"
"55","Bat19","Sir_Frances_Drake","M2U02437","ti2_ti4_ti2","tia_tib_tia","t1c",6,2,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,"0"
"56","Bat19","Sir_Frances_Drake","M2U02437","ti2_ti4_ti2","tia_tib_tia","t1c",6,2,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,"0"
"57","Bat19","Sir_Frances_Drake","M2U02437","ti2_ti4_ti2","tia_tib_tia","t1c",6,2,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,"0"
"58","Bat19","Sir_Frances_Drake","M2U02436","ti4_ti2_ti4","tia_tib_tia","t1c",5,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"0"
"59","Bat19","Sir_Frances_Drake","M2U02436","ti4_ti2_ti4","tia_tib_tia","t1c",5,6,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,"1"
"60","Bat19","Sir_Frances_Drake","M2U02436","ti4_ti2_ti4","tia_tib_tia","t1c",5,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"0"
"61","Bat12","Vila","M2U02340","ti2_ti3_ti2","tia_tib_tia","t1c",4,24,0,2,6,7,0,0,0,0,5,0,0,0,2,0,0,0,2,1,0,0,"1"
"62","Bat12","Vila","M2U02340","ti2_ti3_ti2","tia_tib_tia","t1c",4,24,0,2,6,7,0,0,0,0,6,0,0,0,2,0,0,0,2,1,0,0,"1"
"63","Bat12","Vila","M2U02340","ti2_ti3_ti2","tia_tib_tia","t1c",4,24,0,2,6,7,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,"0"
"64","Bat12","Vila","M2U02343","ti3_ti2_ti3","tia_tib_tia","t1c",6,18,2,3,7,4,0,0,0,0,5,0,0,3,4,0,0,0,4,1,0,0,"1"
"65","Bat12","Vila","M2U02343","ti3_ti2_ti3","tia_tib_tia","t1c",6,18,2,3,7,4,0,0,0,0,6,0,0,0,6,1,0,1,5,1,0,0,"2"
"66","Bat12","Vila","M2U02343","ti3_ti2_ti3","tia_tib_tia","t1c",6,18,2,3,7,4,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,"0"
"67","Bat1","Wramplemeier","M2U02133","ti1_ti2_ti1","tia_tib_tia","t1c",7,3,7,1,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,"0"
"68","Bat1","Wramplemeier","M2U02133","ti1_ti2_ti1","tia_tib_tia","t1c",7,3,7,1,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,"0"
"69","Bat1","Wramplemeier","M2U02133","ti1_ti2_ti1","tia_tib_tia","t1c",7,3,7,1,0,5,0,0,0,0,7,0,0,0,2,0,0,0,2,1,0,0,"1"
"70","Bat1","Wramplemeier","M2U02134","ti2_ti1_ti2","tia_tib_tia","t1c",8,3,2,1,0,6,0,0,0,0,5,0,0,0,2,0,0,0,2,1,0,0,"1"
"71","Bat1","Wramplemeier","M2U02134","ti2_ti1_ti2","tia_tib_tia","t1c",8,3,2,1,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,"0"
"72","Bat1","Wramplemeier","M2U02134","ti2_ti1_ti2","tia_tib_tia","t1c",8,3,2,1,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,"0"
