"","2.5 %","97.5 %"
".sig01",0.095894543418621,0.423483046634252
".sig02",-0.566474868106724,0.99999999943871
".sig03",0.0888482087111591,0.234013642282271
"scaled_call_num_2",-0.0430854919699964,0.152029300716396
"primary_stimde",0.270665579414226,0.677563513399744
"primary_stimra",-1.08979164146997,-0.576677057689584
"primary_stimrra",-0.341324263929405,0.0813004934345342
"primary_stimrts",-0.175000864504965,0.251472113143571
"primary_stimts",-0.1415510536844,0.260500029085212
"primary_stimt2c",0.325434728731698,0.734176598897507
"primary_stimt1c",-0.100580968854052,0.307069189683001
"scaled_call_num_2:primary_stimra",-1.23716766394346,-0.916745403597703
"scaled_call_num_2:primary_stimrra",-1.0181615371647,-0.731423033199913
"scaled_call_num_2:primary_stimrts",-0.561269794768508,-0.246982737062307
"scaled_call_num_2:primary_stimts",-0.376780826474548,-0.167206931580355
"scaled_call_num_2:primary_stimt2c",-0.2964032854509,-0.0509897153037037
"scaled_call_num_2:primary_stimt1c",-0.41795883318763,-0.167277134056399
