"","primary_stim","scaled_call_num_2.trend","SE","df","asymp.LCL","asymp.UCL","method"
"1","de",0.0817184023650179,0.113191111535149,NA,-0.140132099613929,0.303568904343965,"lsmeans_conf"
"2","ra",-0.454534771719769,0.043552395406613,NA,-0.539895898157178,-0.36917364528236,"lsmeans_conf"
"3","rra",-0.728219587253662,0.062232683842756,NA,-0.850193406246732,-0.606245768260593,"lsmeans_conf"
"4","rts",-0.381000375479745,0.0859357512448979,NA,-0.549431352904138,-0.212569398055352,"lsmeans_conf"
"5","ts",-0.238812066575296,0.0508559643424222,NA,-0.338487925085497,-0.139136208065096,"lsmeans_conf"
"6","t2c",-0.214843332881795,0.115200117840127,NA,-0.440631414863214,0.0109447490996233,"lsmeans_conf"
"7","t1c",-0.270038541892249,0.0642208119559719,NA,-0.395909020383873,-0.144168063400624,"lsmeans_conf"
