"","2.5 %","97.5 %"
".sig01",0.108513375443319,0.420176289380699
".sig02",-0.523659519299984,0.944466598060346
".sig03",0.0952023332128968,0.224647321238551
"scaled_call_num_2",-0.0429494148487306,0.136429387263794
"primary_stimde",0.352648076371504,0.601317847186108
"primary_stimra_t_ra",-0.966027225997752,-0.634151228996503
"primary_stimrra",-0.233803336266215,0.0170272042361039
"primary_stimrts",-0.105085308040979,0.176223943049572
"primary_stimts",-0.0358761543568134,0.180605435970866
"primary_stimt2c",0.410166163786883,0.649202432301264
"primary_stimt1c",-0.013681806177559,0.241180441897394
"scaled_call_num_2:primary_stimra_t_ra",-1.227888121962,-0.911011161040296
"scaled_call_num_2:primary_stimrra",-0.985110038467134,-0.738252926819733
"scaled_call_num_2:primary_stimrts",-0.55285923957724,-0.264261740489454
"scaled_call_num_2:primary_stimts",-0.36409548505239,-0.163937365820906
"scaled_call_num_2:primary_stimt2c",-0.287819708914006,-0.064925529608492
"scaled_call_num_2:primary_stimt1c",-0.397846771837129,-0.181352441008442
