Bat_ID,bat_name,video_ID,trial_name,trial_name_2,primary_stim,trial_number,sm_tw_trial,md_tw_trial,lg_tw_trial,Orienting_trial,Flying_trial,Approach_trial,Grooming_trial,Landing_trial,Yawning_trial,set_num,Landing_set,Approach_set,Orienting_set,all_tw_set,mdlg_tw_set,lg_tw_set,md_tw__set,sm_tw_set,Flying_set,Grooming_set,Yawning_set,Ordinal3
Bat1,Wramplemeier,M2U02134,ti2_ti1_ti2,tia_tib_tia,t1c,8,3,2,1,0,6,0,0,0,0,5,0,0,0,2,0,0,0,2,1,0,0,1
Bat1,Wramplemeier,M2U02134,ti2_ti1_ti2,tia_tib_tia,t1c,8,3,2,1,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
Bat1,Wramplemeier,M2U02134,ti2_ti1_ti2,tia_tib_tia,t1c,8,3,2,1,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0
Bat12,Vila,M2U02343,ti3_ti2_ti3,tia_tib_tia,t1c,6,18,2,3,7,4,0,0,0,0,5,0,0,3,4,0,0,0,4,1,0,0,1
Bat12,Vila,M2U02343,ti3_ti2_ti3,tia_tib_tia,t1c,6,18,2,3,7,4,0,0,0,0,6,0,0,0,6,1,0,1,5,1,0,0,2
Bat12,Vila,M2U02343,ti3_ti2_ti3,tia_tib_tia,t1c,6,18,2,3,7,4,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
Bat19,Sir_Frances_Drake,M2U02436,ti4_ti2_ti4,tia_tib_tia,t1c,5,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bat19,Sir_Frances_Drake,M2U02436,ti4_ti2_ti4,tia_tib_tia,t1c,5,6,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,1
Bat19,Sir_Frances_Drake,M2U02436,ti4_ti2_ti4,tia_tib_tia,t1c,5,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bat13,Paris,M2U02359,ti4_ti3_ti4,tia_tib_tia,t1c,9,15,0,46,7,0,0,7,0,0,5,0,0,1,9,4,4,0,5,0,1,0,2
Bat13,Paris,M2U02359,ti4_ti3_ti4,tia_tib_tia,t1c,9,15,0,46,7,0,0,7,0,0,6,0,0,1,8,6,6,0,2,0,1,0,2
Bat13,Paris,M2U02359,ti4_ti3_ti4,tia_tib_tia,t1c,9,15,0,46,7,0,0,7,0,0,7,0,0,1,7,4,4,0,3,0,1,0,2
Bat11,Linus,M2U02323,ti4_ti1_ti4,tia_tib_tia,t1c,6,13,1,8,6,5,0,0,0,7,5,0,0,1,0,0,0,0,0,1,0,0,0
Bat11,Linus,M2U02323,ti4_ti1_ti4,tia_tib_tia,t1c,6,13,1,8,6,5,0,0,0,7,6,0,0,0,3,0,0,0,3,2,0,0,1
Bat11,Linus,M2U02323,ti4_ti1_ti4,tia_tib_tia,t1c,6,13,1,8,6,5,0,0,0,7,7,0,0,0,1,0,0,0,1,1,0,0,1
Bat2,Jesper,M2U02191,ti2_ti1_ti2,tia_tib_tia,t1c,8,3,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bat2,Jesper,M2U02191,ti2_ti1_ti2,tia_tib_tia,t1c,8,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bat2,Jesper,M2U02191,ti2_ti1_ti2,tia_tib_tia,t1c,8,3,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bat10,Insor,M2U02316,ti2_ti1_ti2,tia_tib_tia,t1c,9,9,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bat10,Insor,M2U02316,ti2_ti1_ti2,tia_tib_tia,t1c,9,9,0,0,1,0,0,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,1
Bat10,Insor,M2U02316,ti2_ti1_ti2,tia_tib_tia,t1c,9,9,0,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,2,0,0,0,1
Bat9,Florecito,M2U02292,ti4_ti3_ti4,tia_tib_tia,t1c,9,6,2,39,4,3,0,0,0,0,5,0,0,1,9,9,9,0,0,0,0,0,2
Bat9,Florecito,M2U02292,ti4_ti3_ti4,tia_tib_tia,t1c,9,6,2,39,4,3,0,0,0,0,6,0,0,1,4,4,4,0,0,0,0,0,2
Bat9,Florecito,M2U02292,ti4_ti3_ti4,tia_tib_tia,t1c,9,6,2,39,4,3,0,0,0,0,7,0,0,1,7,7,7,0,0,0,0,0,2
Bat18,Duke,M2U02426,ti3_ti2_ti3,tia_tib_tia,t1c,7,4,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bat18,Duke,M2U02426,ti3_ti2_ti3,tia_tib_tia,t1c,7,4,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bat18,Duke,M2U02426,ti3_ti2_ti3,tia_tib_tia,t1c,7,4,0,0,1,0,0,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,1
Bat14,Captain_Isaac,M2U02362,ti4_ti2_ti4,tia_tib_tia,t1c,2,15,0,17,8,0,0,6,0,0,5,0,0,0,1,0,0,0,1,0,1,0,1
Bat14,Captain_Isaac,M2U02362,ti4_ti2_ti4,tia_tib_tia,t1c,2,15,0,17,8,0,0,6,0,0,6,0,0,0,5,5,5,0,0,0,2,0,2
Bat14,Captain_Isaac,M2U02362,ti4_ti2_ti4,tia_tib_tia,t1c,2,15,0,17,8,0,0,6,0,0,7,0,0,1,1,0,0,0,1,0,0,0,1
Bat15,Captain_Henry_Morgan,M2U02372,ti4_ti3_ti4,tia_tib_tia,t1c,2,54,0,11,6,0,0,4,0,7,5,0,0,0,10,0,0,0,10,0,0,0,1
Bat15,Captain_Henry_Morgan,M2U02372,ti4_ti3_ti4,tia_tib_tia,t1c,2,54,0,11,6,0,0,4,0,7,6,0,0,1,9,0,0,0,9,0,0,0,1
Bat15,Captain_Henry_Morgan,M2U02372,ti4_ti3_ti4,tia_tib_tia,t1c,2,54,0,11,6,0,0,4,0,7,7,0,0,3,9,4,4,0,5,0,4,7,2
Bat17,Boba_Bat,M2U02403,ti4_ti1_ti4,tia_tib_tia,t1c,1,11,5,5,3,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,0,1
Bat17,Boba_Bat,M2U02403,ti4_ti1_ti4,tia_tib_tia,t1c,1,11,5,5,3,0,0,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,1
Bat17,Boba_Bat,M2U02403,ti4_ti1_ti4,tia_tib_tia,t1c,1,11,5,5,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
