"Bat_ID"	"bat_name"	"video_ID"	"trial_name"	"trial_name_2"	"primary_stim"	"trial_number"	"sm_tw_trial"	"md_tw_trial"	"lg_tw_trial"	"Orienting_trial"	"Flying_trial"	"Approach_trial"	"Grooming_trial"	"Landing_trial"	"Yawning_trial"	"set_num"	"sm_tw_set"	"md_tw__set"	"lg_tw_set"	"mdlg_tw_set"	"all_tw_set"	"Orienting_set"	"Flying_set"	"Approach_set"	"Grooming_set"	"Landing_set"	"Yawning_set"	"call_num"	"Flying_call"	"Grooming_call"	"sm_tw_call"	"md_tw_call"	"lg_tw_call"	"mdlg_tw_call"	"all_tw_call"	"Orienting_call"	"Approach_call"	"Landing_call"	"Yawning_call"
"1"	"Bat9"	"Florecito"	"M2U02285"	"de_t_de"	"de_t_de"	"de"	"4"	9	14	12	4	0	0	3	0	0	1	4	0	0	0	4	0	0	0	2	0	0	1.1	0	1	2	0	0	0	2	0	0	0	0
"2"	"Bat10"	"Insor"	"M2U02313"	"de_t_de"	"de_t_de"	"de"	"6"	3	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0
"3"	"Bat11"	"Linus"	"M2U02325"	"de_t_de"	"de_t_de"	"de"	"8"	7	2	43	6	3	1	2	0	1	1	2	2	6	8	10	1	0	0	0	0	0	1.1	0	0	0	0	2	2	2	1	0	0	0
"4"	"Bat12"	"Vila"	"M2U02346"	"de_t_de"	"de_t_de"	"de"	"8"	11	9	16	1	1	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0
"5"	"Bat13"	"Paris"	"M2U02353"	"de_t_de"	"de_t_de"	"de"	"4"	14	0	49	3	0	0	0	0	0	1	0	0	6	6	6	1	0	0	0	0	0	1.1	0	0	0	0	0	0	0	1	0	0	0
"6"	"Bat14"	"Captain_Isaac"	"M2U02370"	"de_t_de"	"de_t_de"	"de"	"10"	7	0	42	3	3	1	0	0	5	1	2	0	8	8	10	0	1	0	0	0	0	1.1	0	0	0	0	2	2	2	0	0	0	0
"7"	"Bat15"	"Captain_Henry_Morgan"	"M2U02377"	"de_t_de"	"de_t_de"	"de"	"7"	11	0	17	3	0	0	5	0	0	1	5	0	1	1	6	1	0	0	0	0	0	1.1	0	0	1	0	0	0	1	1	0	0	0
"8"	"Bat17"	"Boba_Bat"	"M2U02415"	"de_t_de"	"de_t_de"	"de"	"8"	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0
"9"	"Bat19"	"Sir_Frances_Drake"	"M2U02435"	"de_t_de"	"de_t_de"	"de"	"4"	23	4	21	8	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0
"11"	"Bat2"	"Jesper"	"M2U02182"	"de_t_de"	"de_t_de"	"de"	"3"	30	0	9	17	0	0	0	0	9	1	3	0	3	3	6	2	0	0	0	0	0	1.1	0	0	0	0	1	1	1	1	0	0	0
"13"	"Bat18"	"Duke"	"M2U02423"	"de_t_de"	"de_t_de"	"de"	"4"	11	0	29	9	0	0	0	0	0	1	0	0	6	6	6	1	0	0	0	0	0	1.1	0	0	0	0	1	1	1	0	0	0	0
"14"	"Bat9"	"Florecito"	"M2U02285"	"de_t_de"	"de_t_de"	"de"	"4"	9	14	12	4	0	0	3	0	0	1	4	0	0	0	4	0	0	0	2	0	0	1.2	0	1	2	0	0	0	2	0	0	0	0
"15"	"Bat10"	"Insor"	"M2U02313"	"de_t_de"	"de_t_de"	"de"	"6"	3	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0
"16"	"Bat11"	"Linus"	"M2U02325"	"de_t_de"	"de_t_de"	"de"	"8"	7	2	43	6	3	1	2	0	1	1	2	2	6	8	10	1	0	0	0	0	0	1.2	0	0	0	0	2	2	2	1	0	0	0
"17"	"Bat12"	"Vila"	"M2U02346"	"de_t_de"	"de_t_de"	"de"	"8"	11	9	16	1	1	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0
"18"	"Bat13"	"Paris"	"M2U02353"	"de_t_de"	"de_t_de"	"de"	"4"	14	0	49	3	0	0	0	0	0	1	0	0	6	6	6	1	0	0	0	0	0	1.2	0	0	0	0	2	2	2	0	0	0	0
"19"	"Bat14"	"Captain_Isaac"	"M2U02370"	"de_t_de"	"de_t_de"	"de"	"10"	7	0	42	3	3	1	0	0	5	1	2	0	8	8	10	0	1	0	0	0	0	1.2	0	0	0	0	2	2	2	0	0	0	0
"20"	"Bat15"	"Captain_Henry_Morgan"	"M2U02377"	"de_t_de"	"de_t_de"	"de"	"7"	11	0	17	3	0	0	5	0	0	1	5	0	1	1	6	1	0	0	0	0	0	1.2	0	0	0	0	1	1	1	1	0	0	0
"21"	"Bat17"	"Boba_Bat"	"M2U02415"	"de_t_de"	"de_t_de"	"de"	"8"	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0
"22"	"Bat19"	"Sir_Frances_Drake"	"M2U02435"	"de_t_de"	"de_t_de"	"de"	"4"	23	4	21	8	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0
