"","2.5 %","97.5 %"
".sig01",0.146179870166243,0.543546238914675
".sig02",-0.6608277839343,0.828257275151854
".sig03",0.103894967043369,0.263166984406788
"scaled_call_num_2",-0.0857705526197128,0.183295472340782
"primary_stimde",0.177356374959114,0.806329307922118
"primary_stimra",-1.2082970453271,-0.448521264433853
"primary_stimrra",-0.447519308227835,0.143619491674515
"primary_stimrts",-0.284611860042567,0.357400283239882
"primary_stimts",-0.199195638123359,0.369440671585966
"primary_stimt2c",0.214464735778435,0.819348304690522
"primary_stimt1c",-0.140156650003873,0.421605999010657
"scaled_call_num_2:primary_stimra",-1.31108253471079,-0.841134839563845
"scaled_call_num_2:primary_stimrra",-1.06132305063206,-0.67614921128614
"scaled_call_num_2:primary_stimrts",-0.627001352359244,-0.204744417912609
"scaled_call_num_2:primary_stimts",-0.437805228646448,-0.107979461487619
"scaled_call_num_2:primary_stimt2c",-0.367453163155371,0.0135608594204019
"scaled_call_num_2:primary_stimt1c",-0.467524906261826,-0.114484976345145
