Bat_ID	bat_name	video_ID	trial_name	trial_name_2	primary_stim	first_stim	trial_number	sm_tw_trial	md_tw_trial	lg_tw_trial	all_tw_trial	total_tw	Orienting_trial	Flying_trial	Approach_trial	Grooming_trial	Landing_trial	Yawning_trial	set_num	sm_tw_set	md_tw_set	lg_tw_set	all_tw_set	Orienting_set
Bat11	Linus	M2U02324	t_de_t	t_de_t	T	Ts	7	20	0	14	34	332	7	2	1	1	0	13	1	4	0	2	6	2
Bat12	Vila	M2U02345	t_de_t	t_de_t	T	Ts	7	10	3	2	15	235	0	0	0	0	0	0	1	2	0	0	2	0
Bat15	Captain_Henry_Morgan	M2U02378	t_de_t	t_de_t	T	Ts	8	17	0	9	26	301	11	2	0	0	0	0	1	0	0	9	9	1
Bat16	Blackbeard	M2U02395	t_de_t	t_de_t	T	Ts	4	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0
Bat17	Boba_Bat	M2U02414	t_de_t	t_de_t	T	Ts	7	3	0	0	3	56	0	0	0	0	0	0	1	2	0	0	2	0
Bat10	Insor	M2U02309	t_de_t	t_de_t	T	Ts	2	7	2	0	9	94	0	0	0	0	0	0	1	1	0	0	1	0
Bat13	Paris	M2U02352	t_de_t	t_de_t	T	Ts	3	32	0	16	48	402	2	0	0	0	0	0	1	5	0	5	10	0
Bat18	Duke	M2U02421	t_de_t	t_de_t	T	Ts	2	7	0	17	24	152	0	0	0	0	0	0	1	1	0	5	6	0
Bat19	Sir_Frances_Drake	M2U02432	t_de_t	t_de_t	T	Ts	1	14	5	27	46	193	10	0	0	1	0	0	1	2	0	5	7	1
Bat9	Florecito	M2U02278	t_de_t	t_de_t	T	Ts	1	5	13	42	60	329	10	1	1	0	0	2	1	0	0	10	10	0
Bat14	Captain_Isaac	M2U02367	t_ra_t	t_ra_t	T	Ts	7	7	0	5	12	363	2	5	0	0	0	0	1	5	0	3	8	1
Bat1	Wramplemeier	M2U02126	t_ra_t	t_ra_t	T	Ts	1	15	0	8	23	87	2	0	0	1	0	1	1	1	0	2	3	1
Bat16	Blackbeard	M2U02393	t_ra_t	t_ra_t	T	Ts	2	1	0	0	1	21	0	0	0	0	0	0	1	0	0	0	0	0
Bat2	Jesper	M2U02181	t_ra_t	t_ra_t	T	Ts	2	11	1	28	40	247	11	0	0	0	0	10	1	0	0	9	9	2
Bat1	Wramplemeier	M2U02130	tc_ts_tc	tc_ts_tc	Tc	T2c	5	10	0	2	12	87	0	3	0	0	0	0	1	6	0	2	8	0
Bat10	Insor	M2U02315	tc_ts_tc	tc_ts_tc	Tc	T2c	8	8	1	0	9	94	0	0	0	0	0	0	1	6	1	0	7	0
Bat11	Linus	M2U02321	tc_ts_tc	tc_ts_tc	Tc	T2c	4	42	0	9	51	332	5	6	0	0	0	3	1	5	0	4	9	1
Bat12	Vila	M2U02339	tc_ts_tc	tc_ts_tc	Tc	T2c	3	6	10	12	28	235	2	5	2	0	1	0	1	0	0	3	3	0
Bat13	Paris	M2U02356	tc_ts_tc	tc_ts_tc	Tc	T2c	7	7	0	67	74	402	18	0	0	0	0	0	1	2	0	8	10	1
Bat14	Captain_Isaac	M2U02361	tc_ts_tc	tc_ts_tc	Tc	T2c	1	19	2	40	61	363	16	0	0	0	0	14	1	0	0	9	9	2
Bat15	Captain_Henry_Morgan	M2U02371	tc_ts_tc	tc_ts_tc	Tc	T2c	1	31	12	29	72	301	17	0	0	0	0	0	1	0	0	9	9	1
Bat16	Blackbeard	M2U02401	tc_ts_tc	tc_ts_tc	Tc	T2c	10	0	1	0	1	21	0	0	0	0	0	1	1	0	0	0	0	0
Bat17	Boba_Bat	M2U02410	tc_ts_tc	tc_ts_tc	Tc	T2c	5	1	1	0	2	56	0	0	0	0	0	6	1	0	1	0	1	0
Bat18	Duke	M2U02431	tc_ts_tc	tc_ts_tc	Tc	T2c	10	12	0	6	18	152	5	0	0	0	0	0	1	1	0	3	4	0
Bat19	Sir_Frances_Drake	M2U02440	tc_ts_tc	tc_ts_tc	Tc	T2c	9	10	1	1	12	193	1	0	0	6	0	0	1	8	1	0	9	1
Bat2	Jesper	M2U02190	tc_ts_tc	tc_ts_tc	Tc	T2c	7	15	0	0	15	247	1	0	0	0	0	0	1	8	0	0	8	0
Bat9	Florecito	M2U02291	tc_ts_tc	tc_ts_tc	Tc	T2c	8	4	0	27	31	329	0	6	0	0	0	0	1	1	0	5	6	0
Bat1	Wramplemeier	M2U02133	ti1_ti2_ti1	tia_tib_tia	T1	T1c	7	3	7	1	11	87	0	5	0	0	0	0	1	0	3	0	3	0
Bat1	Wramplemeier	M2U02134	ti2_ti1_ti2	tia_tib_tia	T2	T1c	8	3	2	1	6	87	0	6	0	0	0	0	1	1	2	1	4	0
Bat10	Insor	M2U02316	ti2_ti1_ti2	tia_tib_tia	T2	T1c	9	9	0	0	9	94	1	0	0	0	0	0	1	0	0	0	0	0
Bat10	Insor	M2U02317	ti1_ti2_ti1	tia_tib_tia	T1	T1c	10	0	0	0	0	94	0	0	0	0	0	0	1	0	0	0	0	0
Bat11	Linus	M2U02323	ti4_ti1_ti4	tia_tib_tia	T4	T1c	6	13	1	8	22	332	6	5	0	0	0	7	1	1	0	5	6	1
Bat12	Vila	M2U02343	ti3_ti2_ti3	tia_tib_tia	T3	T1c	6	18	2	3	23	235	7	4	0	0	0	0	1	1	0	3	4	1
Bat13	Paris	M2U02359	ti4_ti3_ti4	tia_tib_tia	T4	T1c	9	15	0	46	61	402	7	0	0	7	0	0	1	0	0	10	10	3
Bat13	Paris	M2U02360	ti3_ti4_ti3	tia_tib_tia	T3	T1c	10	22	0	15	37	402	6	2	0	3	0	6	1	0	0	0	0	0
Bat14	Captain_Isaac	M2U02366	ti2_ti4_ti2	tia_tib_tia	T2	T1c	6	18	2	36	56	363	7	0	0	0	0	19	1	0	0	10	10	0
Bat15	Captain_Henry_Morgan	M2U02373	ti3_ti4_ti3	tia_tib_tia	T3	T1c	3	20	0	1	21	301	1	0	0	1	0	7	1	3	0	1	4	0
Bat16	Blackbeard	M2U02398	ti2_ti4_ti2	tia_tib_tia	T2	T1c	7	8	2	4	14	21	1	0	0	0	0	0	1	1	0	0	1	0
Bat16	Blackbeard	M2U02399	ti4_ti2_ti4	tia_tib_tia	T4	T1c	8	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0
Bat17	Boba_Bat	M2U02404	ti1_ti4_ti1	tia_tib_tia	T1	T1c	2	6	0	0	6	56	10	0	0	5	0	8	1	3	0	0	3	1
Bat18	Duke	M2U02426	ti3_ti2_ti3	tia_tib_tia	T3	T1c	7	4	0	0	4	152	1	0	0	0	0	0	1	0	0	0	0	0
Bat18	Duke	M2U02429	ti2_ti3_ti2	tia_tib_tia	T2	T1c	9	4	0	0	4	152	3	0	0	0	0	0	1	3	0	0	3	1
Bat19	Sir_Frances_Drake	M2U02436	ti4_ti2_ti4	tia_tib_tia	T4	T1c	5	6	0	0	6	193	0	0	0	0	0	0	1	3	0	0	3	0
Bat19	Sir_Frances_Drake	M2U02437	ti2_ti4_ti2	tia_tib_tia	T2	T1c	6	2	0	0	2	193	0	0	0	0	0	4	1	1	0	0	1	0
Bat2	Jesper	M2U02185	ti1_ti2_ti1	tia_tib_tia	T1	T1c	6	20	0	7	27	247	8	0	0	0	0	0	1	5	0	3	8	1
Bat2	Jesper	M2U02191	ti2_ti1_ti2	tia_tib_tia	T2	T1c	8	3	0	0	3	247	1	0	0	0	0	0	1	0	0	0	0	0
Bat9	Florecito	M2U02290	ti3_ti4_ti3	tia_tib_tia	T3	T1c	7	0	3	39	42	329	2	4	0	0	0	0	1	0	0	7	7	0
Bat9	Florecito	M2U02292	ti4_ti3_ti4	tia_tib_tia	T4	T1c	9	6	2	39	47	329	4	3	0	0	0	0	1	0	0	7	7	0
Bat11	Linus	M2U02320	ti1_ti4_ti1	tia_tib_tia	T1	T1c	3	7	0	10	17	332	7	5	2	0	0	8	1	0	0	3	3	0
Bat12	Vila	M2U02340	ti2_ti3_ti2	tia_tib_tia	T2	T1c	4	24	0	2	26	235	6	7	0	0	0	0	1	9	0	0	9	1
Bat14	Captain_Isaac	M2U02362 	ti4_ti2_ti4	tia_tib_tia	T4	T1c	2	15	0	17	32	363	8	0	0	6	0	0	1	2	0	7	9	4
Bat15	Captain_Henry_Morgan	M2U02372	ti4_ti3_ti4	tia_tib_tia	T4	T1c	2	54	0	11	65	301	6	0	0	4	0	7	1	3	0	7	10	1
Bat17	Boba_Bat	M2U02403	ti4_ti1_ti4	tia_tib_tia	T4	T1c	1	11	5	5	21	56	3	0	0	0	0	0	1	0	3	5	8	3
Bat1	Wramplemeier	M2U02132	ts_tc_ts	ts_tc_ts	Ts	Ts	6	5	3	4	12	87	2	1	0	10	0	1	1	3	0	0	3	0
Bat10	Insor	M2U02314	ts_tc_ts	ts_tc_ts	Ts	Ts	7	6	4	0	10	94	0	0	0	0	0	0	1	1	0	0	1	0
Bat11	Linus	M2U02322	ts_tc_ts	ts_tc_ts	Ts	Ts	5	14	1	7	22	332	13	2	0	0	0	3	1	3	0	1	4	4
Bat12	Vila	M2U02336	ts_tc_ts	ts_tc_ts	Ts	Ts	1	23	13	9	45	235	0	0	0	0	0	0	1	0	0	7	7	0
Bat13	Paris	M2U02357	ts_tc_ts	ts_tc_ts	Ts	Ts	8	29	0	8	37	402	4	1	0	0	0	15	1	3	0	3	6	0
Bat14	Captain_Isaac	M2U02364	ts_tc_ts	ts_tc_ts	Ts	Ts	4	17	0	35	52	363	11	0	0	1	0	0	1	0	0	8	8	3
Bat15	Captain_Henry_Morgan	M2U02376	ts_tc_ts	ts_tc_ts	Ts	Ts	6	9	0	7	16	301	1	0	0	4	0	0	1	2	0	2	4	0
Bat16	Blackbeard	M2U02400	ts_tc_ts	ts_tc_ts	Ts	Ts	9	3	0	0	3	21	0	0	0	0	0	1	1	0	0	0	0	0
Bat17	Boba_Bat	M2U02407	ts_tc_ts	ts_tc_ts	Ts	Ts	4	0	0	0	0	56	0	0	0	0	0	0	1	0	0	0	0	0
Bat18	Duke	M2U02427	ts_tc_ts	ts_tc_ts	Ts	Ts	8	10	0	1	11	152	1	0	0	0	0	0	1	2	0	0	2	0
Bat19	Sir_Frances_Drake	M2U02438	ts_tc_ts	ts_tc_ts	Ts	Ts	7	16	1	0	17	193	1	0	0	0	0	0	1	1	0	0	1	0
Bat2	Jesper	M2U02184	ts_tc_ts	ts_tc_ts	Ts	Ts	5	18	0	17	35	247	8	1	0	0	0	0	1	0	0	10	10	0
Bat9	Florecito	M2U02294	ts_tc_ts	ts_tc_ts	Ts	Ts	10	13	5	23	41	329	20	1	0	11	0	0	1	0	1	8	9	5
