"","2.5 %","97.5 %"
".sig01",0.146165040061396,0.542005098697647
".sig02",-0.657088027175124,0.830996071949869
".sig03",0.10389531649334,0.263167796530338
"scaled_call_num_2",-0.085508928017308,0.185968589112362
"primary_stimde",0.193069766499154,0.783279010488976
"primary_stimra_t_ra",-1.17475144011235,-0.446509312675835
"primary_stimrra",-0.449665972617116,0.188912146946245
"primary_stimrts",-0.274043416358325,0.342489677656149
"primary_stimts",-0.185997334063686,0.331310851096813
"primary_stimt2c",0.206754925678381,0.828750965480166
"primary_stimt1c",-0.199911084608346,0.434665988320077
"scaled_call_num_2:primary_stimra_t_ra",-1.31231682895737,-0.841069709260816
"scaled_call_num_2:primary_stimrra",-1.06157857128411,-0.675490496288702
"scaled_call_num_2:primary_stimrts",-0.626525970996208,-0.204359020990636
"scaled_call_num_2:primary_stimts",-0.437924152240836,-0.107480039762163
"scaled_call_num_2:primary_stimt2c",-0.366908702240333,0.0140419886096178
"scaled_call_num_2:primary_stimt1c",-0.467707337871821,-0.114650301441375
